import_country,export_country,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,common_language,both_in_EU,both_in_EFTA,distance
17,3,-3.391203977101932,-3.391203977101932,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.0
17,4,-5.194456335329851,-5.194456335329851,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8967.0
17,5,-4.733244340890176,-4.733244340890176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4559.0
17,6,-4.722090811147152,-4.722090811147152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.0
17,7,-4.316925452242758,-4.316925452242758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.0
17,8,-4.085392951140545,-4.085392951140545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1377.0
17,9,-5.584118055905042,-5.584118055905042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10569.0
17,10,-6.611518443266504,-6.611518443266504,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8211.0
17,11,-6.61781620923295,-6.61781620923295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11444.0
17,12,-6.71189471912635,-6.71189471912635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14625.0
17,13,-4.570053472226183,-4.570053472226183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7974.0
17,14,-4.557516103284408,-4.557516103284408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2744.0
17,15,-6.131123466219437,-6.131123466219437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9454.0
17,16,-5.129643606810434,-5.129643606810434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.0
17,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0
17,18,-5.6376455498439135,-5.6376455498439135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.0
